Project Name	Stars	Contributors	Forks	Releases
arrow               	12600	947	3100	76
 byte-buddy          	5800	86	768	272
 cantaloupe          	259	20	98	56
 client\_java         	2100	131	774	41
 commons-bcel        	223	36	122	35
 crate               	3800	84	529	79
 eclipse-collections 	2300	108	556	18
 fastjson            	25500	179	6600	84
 feign               	9100	235	1900	31
 HdrHistogram        	2100	39	253	1
 imglib2             	278	34	90	0
 iri                 	1200	57	382	62
 jdbi                	1800	134	332	34
 jetty.project       	3700	185	1900	76
 jgrapht             	2400	39	846	31
 jooby               	1600	83	195	105
 kafka               	26000	1061	13100	226
 logbook             	1600	80	242	98
 netty               	31900	631	15600	270
 objenesis           	568	18	95	11
 panda               	247	17	37	10
 protostuff          	2000	22	326	17
 r2dbc-h2            	191	20	42	2
 rdf4j               	331	87	159	96
 RxJava              	47300	295	7800	233
 SquidLib            	439	11	46	21
 tinkerpop           	1800	185	776	107
 vert.x              	13800	245	2000	163
