Project;Time Junit;Time JMH;Delta;Delta Percentage;Test Junit;Test JMH;Ratio JMH/Junit Test;AVG Junit;AVG JMH
hdrHistogram;44,814;2430;2385,186;54,2241263890748;570;12;0,0210526315789474;0,078621052631579;202,5
squidLib;18,548;37735;37716,452;2034,45115376321;73;236;3,23287671232877;0,254082191780822;159,89406779661
arrow;34,175;23000;22965,825;673,006583760059;1612;34;0,0210918114143921;0,0212003722084367;676,470588235294
byte-buddy;17,501;15600;15582,499;891,377635563682;9170;39;0,00425299890948746;0,00190850599781898;400
cantaloupe;670,144;1030;359,856;1,53698309617038;3117;103;0,0330445941610523;0,214996470965672;10
client_java;17,199;13200;13182,801;767,486481772196;217;33;0,152073732718894;0,0792580645161291;400
commons-bcel;15,27;90;74,73;5,89390962671906;137;3;0,0218978102189781;0,111459854014599;30
fastjson;63,684;2400;2336,316;37,6860749952892;4979;4;0,000803374171520386;0,0127905201847761;600
feign;150,59;585;434,41;3,88472010093632;942;8;0,00849256900212314;0,159861995753716;73,125
imglib2;10,081;4022,8;4012,719;399,047713520484;1233;25;0,0202757502027575;0,00817599351175993;160,912
iri;122,654;1500;1377,346;12,2295237008169;398;3;0,00753768844221106;0,308175879396985;500
jdbi;326,157;32720;32393,843;100,319784643592;1428;76;0,0532212885154062;0,228401260504202;430,526315789474
jgrapht;160,107;20606;20445,893;128,701430918074;6782;51;0,00751990563255677;0,0236076378649366;404,039215686275
jooby;45,894;1200;1154,106;26,1472087854622;846;3;0,00354609929078014;0,0542482269503546;400
logbook;42,822;1594;1551,178;37,223856895988;744;20;0,0268817204301075;0,0575564516129032;79,7
objenesis;0,547;390;389,453;712,979890310786;45;13;0,288888888888889;0,0121555555555556;30
panda;2,698;160;157,302;59,3031875463306;61;4;0,0655737704918033;0,0442295081967213;40
r2dbc-h2;2,415;280;277,585;115,942028985507;259;8;0,0308880308880309;0,00932432432432432;35
vert.x;821,482;1640;818,518;1,99639188685814;4475;41;0,00916201117318436;0,183571396648045;40
