Project Name,Methods,Benchmarked,Directly Benchmarked,Benchmark By,Directly Benchmarked By
HdrHistogram,780,120,29,491,83
RxJava,8282,408,116,6614,2036
SquidLib,5663,441,194,10757,4982
arrow,3789,342,110,2958,400
byte-buddy,5046,107,23,1565,305
cantaloupe,3475,288,81,4972,864
client_java,386,22,16,257,192
commons-bcel,3132,396,106,434,111
crate,24155,1668,216,10485,797
eclipse-collections,15219,679,241,16304,3397
fastjson,17524,64,3,122,6
feign,979,121,23,619,60
imglib2,3432,251,59,1637,153
iri,1554,15,9,22,16
jdbi,2379,379,57,6523,569
jetty.project,18060,205,89,589,189
jgrapht,3782,371,74,2299,434
jooby,3331,9,3,21,9
kafka,16157,485,194,1676,589
logbook,811,120,50,510,255
netty,16615,1671,442,25189,5405
objenesis,207,18,10,81,34
panda,1479,722,21,1550,49
protostuff,3312,41,9,332,63
r2dbc-h2,291,43,16,198,88
rdf4j,14041,1164,40,5374,133
tinkerpop,7753,691,148,5521,952
vert.x,5685,135,31,406,109
