Project Name,Total Methods,Methods Covered,Methods Directly Covered,Coverage Percentage,Direct Coverage Percentage,Total Benchmarks,Overlap Ratio,Methods Benchmarked,Methods Directly Benchmarked,Average Coverage
HdrHistogram,780,120,29,15.38,3.72,12,0.77,491,83,40.92
RxJava,8282,408,116,4.93,1.4,217,0.83,6538,2027,30.13
SquidLib,5663,441,194,7.79,3.43,236,0.8,10509,4891,44.53
arrow,3789,342,110,9.03,2.9,34,0.65,2532,328,74.47
byte-buddy,5046,107,23,2.12,0.46,39,1.0,1480,276,37.95
cantaloupe,3475,288,81,8.29,2.33,103,0.9,3954,675,38.39
client_java,386,22,16,5.7,4.15,33,0.73,247,185,7.48
commons-bcel,3132,396,106,12.64,3.38,3,0.09,434,111,144.67
crate,24155,1668,216,6.91,0.89,39,0.78,8525,636,218.59
eclipse-collections,15219,679,241,4.46,1.58,515,0.85,15779,3353,30.64
fastjson,17524,64,3,0.37,0.02,4,0.91,122,6,30.5
feign,979,121,23,12.36,2.35,8,0.87,548,54,68.5
imglib2,3432,251,59,7.31,1.72,25,0.89,1594,149,63.76
iri,1554,15,9,0.97,0.58,3,0.33,21,15,7.0
jdbi,2379,379,57,15.93,2.4,76,0.97,5255,436,69.14
jetty.project,18060,205,89,1.14,0.49,48,0.53,540,181,11.25
jgrapht,3782,371,74,9.81,1.96,51,0.7,2206,407,43.25
jooby,3331,9,3,0.27,0.09,3,0.89,21,9,7.0
kafka,16157,485,194,3.0,1.2,27,0.67,1466,479,54.3
logbook,811,120,50,14.8,6.17,20,0.86,475,220,23.75
netty,16615,1671,442,10.06,2.66,221,0.73,23989,5147,108.55
objenesis,207,18,10,8.7,4.83,13,0.79,79,32,6.08
panda,1479,722,21,48.82,1.42,4,0.48,1167,46,291.75
protostuff,3312,41,9,1.24,0.27,16,0.98,328,62,20.5
r2dbc-h2,291,43,16,14.78,5.5,8,0.98,164,67,20.5
rdf4j,14041,1164,40,8.29,0.28,14,0.97,4033,79,288.07
tinkerpop,7753,691,148,8.91,1.91,57,0.82,4798,800,84.18
vert.x,5685,135,31,2.37,0.55,41,0.75,402,105,9.8
